Arquivo,Formato,Tamanho original (bits),Tamanho comprimido (bits),Tamanho Dicionário,Qtd de bits por código,Taxa de compressão,Tempo de compressão (ms),Tempo Relativo (ms/kB)
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,413.539597,47.203717236428496
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,410.273869,46.830948819083716
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,425.733636,48.59561289309999
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,437.051865,49.88753870917401
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,414.814602,47.34925342191506
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,413.29232,47.17549165979267
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,419.328997,47.86455165845502
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.17033,7.071353762183236
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.586996,6.780255313840155
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.205959,7.089133536062378
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.195639,7.08398359454191
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.818616,6.895839563352827
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.245394,7.1088126003898635
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.664575,6.818969200779727
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.836553,6.9047905808966865
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.902242,6.937571056530214
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.852149,6.912573380116959
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.716679,6.844970417153996
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.441097,6.707448015594541
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.832323,6.902679703703704
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.848821,7.40993796491228
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.140842,7.056638502923977
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.126537,7.049499945419104
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.759725,6.866451461988304
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,14.250234,7.111227883040936
ex (4).txt,ascii,16416,1377,408,9,11.92156862745098,13.489517,6.731610822612085
